,Username,Note,Hotel_Name
29,TheWorldTravelerDUS,4.0,"The Westin Tokyo, Meguro, Japon"
30,TheWorldTravelerDUS,4.0,"Sheraton Grand Hiroshima Hotel, Hiroshima, Japon"
31,TheWorldTravelerDUS,4.0,"The St. Regis Osaka, Chuo, Japon"
49,rjyu,4.0,"The Lake View Toya Nonokaze Resort, Toyako-cho, Japon"
51,rjyu,4.0,"Ibis Styles Sapporo, Sapporo, Japon"
111,Charlotteh1977,5.0,"Nagoya Marriott Associa Hotel, Nagoya, Japon"
123,cutiedoggy13,3.0,"Konansou, Fujikawaguchiko-machi, Japon"
124,cutiedoggy13,4.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
125,cutiedoggy13,4.0,"Narita Tobu Hotel Airport, Narita, Japon"
154,angielmo,4.0,"Ibis Styles Kyoto Station, Kyoto, Japon"
158,angielmo,3.0,"Toyoko Inn Tokyo Eki Yaesu Kitaguchi, Yaesu, Japon"
243,26hectord,5.0,"The Strings by InterContinental Tokyo, Minato, Japon"
244,26hectord,4.0,"Hotel Nikko Osaka, Chuo, Japon"
260,ThomasTravelFun,3.0,"Sheraton Miyako Hotel Osaka, Osaka, Japon"
261,ThomasTravelFun,4.0,"Daiwa Roynet Hotel Kyoto Shijo Karasuma, Kyoto, Japon"
264,ThomasTravelFun,3.0,"Daiwa Roynet Hotel Osaka Uehonmachi, Osaka, Japon"
265,ThomasTravelFun,3.0,"Hotel New Hankyu Osaka, Osaka, Japon"
316,mk72759,5.0,"Andaz Tokyo Toranomon Hills, Toranomon, Japon"
361,MesaPuyo,5.0,"Conrad Tokyo, Minato, Japon"
382,triptik123,5.0,"Hotel Granvia Kyoto, Kyoto, Japon"
383,triptik123,5.0,"Hotel Century Southern Tower, Yoyogi, Japon"
384,triptik123,4.0,"Hotel Ryumeikan Tokyo, Yaesu, Japon"
433,cr1557,3.0,"Citadines Central Shinjuku Tokyo, Kabukicho, Japon"
435,Kerra64,5.0,"ANA Crowne Plaza Hiroshima, Hiroshima, Japon"
436,Kerra64,4.0,"Holiday Inn Osaka Namba, Chuo, Japon"
437,Kerra64,5.0,"Tokyo Disneyland Hotel, Maihama, Japon"
438,Kerra64,5.0,"Hotel Sunroute Plaza Shinjuku, Yoyogi, Japon"
439,Kerra64,5.0,"Hotel Granvia Kyoto, Kyoto, Japon"
468,Tink1987,5.0,"Sheraton Grande Tokyo Bay Hotel, Maihama, Japon"
469,Tink1987,5.0,"The Royal Park Hotel Tokyo Haneda, Ota, Japon"
470,Tink1987,5.0,"Hilton Tokyo, Nishishinjuku, Japon"
471,Tink1987,5.0,"Hotel New Otani Osaka, Chuo, Japon"
480,jadeblade49,5.0,"Tokyu Stay Ikebukuro, Toshima, Japon"
519,Sarah53187,2.0,"Sarasa Hotel Namba, Osaka, Japon"
522,benlimisella,4.0,"Citadines Shinjuku Tokyo, Shinjuku, Japon"
525,benlimisella,5.0,"Kinnotake Sengokuhara, Hakone-machi, Japon"
526,benlimisella,5.0,"Yuzuya Ryokan, Kyoto, Japon"
527,benlimisella,4.0,"Shibuya Granbell hotel, Shibuya, Japon"
547,Annie0608,5.0,"Courtyard by Marriott Shin-Osaka Station, Osaka, Japon"
549,Annie0608,5.0,"Shinagawa Prince Hotel, Takanawa, Japon"
577,Lillymungkorn,5.0,"The Yokohama Bay Hotel Tokyu, Minatomirai, Japon"
578,Lillymungkorn,5.0,"Solaria nishitetsu hotel Ginza, Ginza, Japon"
579,Lillymungkorn,5.0,"Oakwood Premier Tokyo, Marunouchi, Japon"
602,harbourchan,5.0,"Hyatt Regency Naha, Okinawa, Naha, Japon"
651,13Astroboy,4.0,"Hotel Weisser Hof Happei, Hakuba-mura, Japon"
652,13Astroboy,4.0,"Keio Plaza Hotel Tokyo, Nishishinjuku, Japon"
678,kaioatey,5.0,"Hotel Monterey Grasmere Osaka, Osaka, Japon"
704,Mish_H50,4.0,"Donkairo, Ako, Japon"
705,Mish_H50,3.0,"Hotel Yoshino, Ito, Japon"
706,Mish_H50,4.0,"Kurofune Hotel, Shimoda, Japon"
707,Mish_H50,5.0,"Hoshino Resorts KAI Kawaji, Nikko, Japon"
708,Mish_H50,4.0,"Mitsui Garden Hotel Otemachi, Chiyoda, Japon"
741,A5738WRfrankb,4.0,"Jinya, Hadano, Japon"
742,A5738WRfrankb,4.0,"Hilton Tokyo, Nishishinjuku, Japon"
769,HongKong1234,5.0,"Hotel Bleston Court, Karuizawa-machi, Japon"
903,Mrcrossiant,3.0,"The Royal Park Hotel Iconic Tokyo Shiodome, Minato, Japon"
904,Mrcrossiant,4.0,"Hotel New Otani Garden Tower, Chiyoda, Japon"
905,Mrcrossiant,4.0,"Sheraton Okinawa Sunmarina Resort, Onna-son, Japon"
924,Tink1987,5.0,"Sheraton Grande Tokyo Bay Hotel, Maihama, Japon"
925,Tink1987,5.0,"The Royal Park Hotel Tokyo Haneda, Ota, Japon"
926,Tink1987,5.0,"Hilton Tokyo, Nishishinjuku, Japon"
927,Tink1987,5.0,"Hotel New Otani Osaka, Chuo, Japon"
932,JSeng,5.0,"Vessel Inn Sakae Ekimae, Naka, Japon"
933,JSeng,5.0,"Hotel Kikori, Hida, Japon"
952,espengc,5.0,"Citadines Central Shinjuku Tokyo, Kabukicho, Japon"
998,Mayaaaaa,3.0,"Hotel Sunroute New Sapporo, Sapporo, Japon"
1000,Mayaaaaa,4.0,"Dormy Inn Osaka Tanimachi, Chuo, Japon"
1008,Mayaaaaa,4.0,"Super Hotel Aomori, Aomori, Japon"
1009,Mayaaaaa,5.0,"Hanamaki Onsen Hotel Hanamaki, Hanamaki, Japon"
1024,kyle710,5.0,"JR Inn Sapporo South, Sapporo, Japon"
1028,kyle710,4.0,"Estinate Hotel, Naha, Japon"
1029,kyle710,5.0,"Nishitetsu Hotel Croom Hakata, Hakataekimae, Japon"
1030,kyle710,4.0,"Mitsui Garden Hotel Sapporo, Sapporo, Japon"
1102,gabrielk954,4.0,"Citadines Central Shinjuku Tokyo, Kabukicho, Japon"
1110,Rawsilver,5.0,"Sapporo Excel Hotel Tokyu, Sapporo, Japon"
1111,Rawsilver,4.0,"Hotel Yumoto Noboribetsu, Noboribetsu, Japon"
1112,Rawsilver,4.0,"Imagine Hotel & Resort Hakodate, Hakodaté, Japon"
1113,Rawsilver,4.0,"Toya Kanko Hotel, Toyako-cho, Japon"
1124,685andreasv,4.0,"Konansou, Fujikawaguchiko-machi, Japon"
1125,685andreasv,4.0,"Hyatt Regency Kyoto, Kyoto, Japon"
1126,685andreasv,3.0,"Nakahara Bessou, Kagoshima, Japon"
1127,685andreasv,3.0,"Richmond Hotel Kumamoto Shinshigai, Kumamoto, Japon"
1187,L8227EYkens,4.0,"Courtyard by Marriott Osaka Honmachi, Chuo, Japon"
1188,L8227EYkens,3.0,"Iwaso, Hatsukaichi, Japon"
1189,L8227EYkens,5.0,"Monjusou SHOUROTEI, Miyazu, Japon"
1190,L8227EYkens,5.0,"Kinosaki Onsen Nishimuraya Honkan, Toyooka, Japon"
1191,L8227EYkens,4.0,"Hotel Granvia Osaka, Osaka, Japon"
1196,L8227EYkens,5.0,"Ryokan Ugenta, Kyoto, Japon"
1199,13Astroboy,4.0,"Hotel Weisser Hof Happei, Hakuba-mura, Japon"
1200,13Astroboy,4.0,"Keio Plaza Hotel Tokyo, Nishishinjuku, Japon"
1221,teoweme,3.0,"The Royal Park Hotel Tokyo Haneda, Ota, Japon"
1222,teoweme,4.0,"New Otani Inn Sapporo, Sapporo, Japon"
1223,teoweme,4.0,"Shibuya Granbell hotel, Shibuya, Japon"
1224,teoweme,4.0,"Keio Plaza Hotel Sapporo, Sapporo, Japon"
1225,teoweme,4.0,"Jozankei View Hotel, Sapporo, Japon"
1235,ccfchew_23,4.0,"Hotel Vischio Osaka by Granvia, Osaka, Japon"
1251,Cylindergal,4.0,"Nono Namba, Nippombashi, Japon"
